peak_name,height_metres,climbed,first_ascent_year,first_ascent_country,first_ascent_expedition_id
Langmoche Ri,6552,TRUE,2012,USA,LMOC12301
Lachama Chuli,6721,TRUE,2007,Japan,LCHA07301
Panpoche 1,6620,FALSE,NA,NA,NA
Panpoche 2,6504,FALSE,NA,NA,NA
Phole,6645,FALSE,NA,NA,NA
Phu Kang,6694,FALSE,NA,NA,NA
Langchung Khang,6786,FALSE,NA,NA,NA
Peak 4,6736,FALSE,NA,NA,NA
Nampa II,6585,FALSE,NA,NA,NA
Nampa III,6611,FALSE,NA,NA,NA
Nampa South,6130,FALSE,NA,NA,NA
Sobithongie,6652,FALSE,NA,NA,NA
Shershon,6432,FALSE,NA,NA,NA
Swaksa Kang,6405,FALSE,NA,NA,NA
Tilje,6530,FALSE,NA,NA,NA
Tsartse,6343,TRUE,2018,"Japan, Nepal",TSAR18301
Yakawa Kang,6482,TRUE,2010,"Japan, Nepal",YAKA10301
Yaupa,6422,TRUE,1989,"UK, USA",YAUP89301
Til Kang,6369,TRUE,2018,UK,TILK18301
Yokopahar,6423,FALSE,NA,NA,NA
Saldim West,6388,TRUE,2016,Romania,SALW16301
Samdo,6335,TRUE,2009,Japan,SAMD09302
Purkhung,6126,TRUE,2004,Japan,PURK04201
Dzasampatse,6295,TRUE,2004,Slovenia,DZAS04301
Swelokhan,6180,FALSE,NA,NA,NA
Mustang Peak,6229,TRUE,2001,"Japan, Nepal",MUPK01301
Jinjang,6111,TRUE,NA,NA,NA
Jobo Rinjang,6778,TRUE,2009,USA,JOBO09101
Kyabura,6294,FALSE,NA,NA,NA
Kumlung,6355,TRUE,2008,France,KUML08301
Dhaulagari,6638,FALSE,NA,NA,NA
Lhayul Peak,6395,FALSE,NA,NA,NA
Merra,6334,TRUE,2006,Denmark,MERR06301
Pabuk Kang,6244,FALSE,NA,NA,NA
Yanme Kang,6206,TRUE,2017,France,YANK17301
Danphe Shail,6103,TRUE,2017,"France, Nepal",DANS17301
Ganesh VII,6350,FALSE,NA,NA,NA
Pharilapcha,6017,TRUE,2003,Nepal,PHAR03101
